Reviewer,Contributions,Score,Review Text,Date
Nikolaki T.,Nikolaki T.,4.0,Very cheap ticket from airport to my hotel.,2019-03-01
richard q,richard q,3.0,Good buses,2019-03-01
GrandmaT,GrandmaT,3.0,Overcrowding,2019-03-01
CindyLou,CindyLou,5.0,Friendliest bus drivers/best touring option,2019-03-01
Ralphie212,Ralphie212,5.0,Excellent public transport system,2019-03-01
Proventurer,Proventurer,4.0,Good service and cheap,2019-03-01
Richard H,Richard H,5.0,Very nice service and Quick!,2019-03-01
Devonfish,Devonfish,5.0,One week of buses,2019-03-01
1961GaryC,1961GaryC,3.0,The TD13,2019-03-01
Samacaiz,Samacaiz,4.0,Great but busy bus service,2019-03-01
Angel F,Angel F,5.0,Bussea,2019-03-01
pcnpatricia,pcnpatricia,5.0,Bus,2018-12-01
John C Hamilton,John C Hamilton,2.0,Interesting Experience.,2019-03-01
ian1811,ian1811,5.0,Easy to get around.,2019-02-01
nickpayne82,nickpayne82,5.0,Great Way To See Malta,2018-09-01
holfy2003,holfy2003,4.0,Easy way to see the island,2019-02-01
yatris,yatris,5.0,Incredible! The service continued during the storm,2019-02-01
joannabee1965,joannabee1965,4.0,Buses are affordable & a great way to see Malta,2019-03-01
Arcee_CO,Arcee_CO,4.0,Efficient and inexpensive buses; tourists be aware of the schedule,2019-01-01
Karen R,Karen R,5.0,Excellent cslue,2019-02-01
robert s,robert s,4.0,Very nice,2019-02-01
Sineadmccambridge,Sineadmccambridge,1.0,Right off of a day due to terrible bus services,2019-02-01
norma4up,norma4up,4.0,See Malta by bus!,2019-02-01
BurrellsBoy,BurrellsBoy,4.0,Value for money,2019-02-01
Naomi010,Naomi010,5.0,Great service and value for money.,2019-02-01
Mara,Mara,1.0,New to Malta- Getting a tax or walking from now on!,2019-02-01
Peter Binns,Peter Binns,4.0,Malta has always had good public transport,2019-02-01
achyontour,achyontour,5.0,Great low cost transport,2019-02-01
Susan R,Susan R,5.0,Excellent service,2019-02-01
Neil F,Neil F,5.0,Best way to travel in Malta,2018-10-01
Paul,Paul,1.0,Great value however safety a concern,2019-01-01
Margaret R,Margaret R,5.0,We love the public transport,2019-02-01
Victor H,Victor H,5.0,easy,2019-01-01
Alice R,Alice R,4.0,Fantastic service,2019-01-01
Helen F,Helen F,5.0,A great way to get around,2019-02-01
Linda S,Linda S,5.0,Great value,2019-01-01
11 visitor,11 visitor,5.0,A surprise,2019-01-01
Mona,Mona,4.0,Very easy,2019-01-01
Nansuelka,Nansuelka,1.0,Terrible,2019-01-01
Norma M,Norma M,5.0,Wow! So impressive,2019-01-01
Paniermehl D,Paniermehl D,1.0,What a nightmare,2018-12-01
brokgoud,brokgoud,4.0,much better than renting a car,2019-01-01
robbiemactours,robbiemactours,5.0,Explorer Bus Card Malta,2018-11-01
Julie B,Julie B,5.0,Travel,2019-01-01
billloco01,billloco01,5.0,A really great way to see the island,2018-08-01
leonnicky,leonnicky,5.0,best in town,2018-12-01
Raysixtus,Raysixtus,5.0,Good way to go around Malta plus affordable,2019-01-01
Derick P,Derick P,4.0,Very impressed,2019-01-01
ian s,ian s,5.0,Get a pass.,2018-12-01
Allan M,Allan M,4.0,Well worth the money.,2018-12-01
gingerjudith,gingerjudith,5.0,An adventure!,2018-12-01
Paresh B,Paresh B,4.0,"Excellent value, with online support, very easy to use",2018-12-01
francisking2010,francisking2010,5.0,Travelling around the Island by Local Bus.,2018-12-01
Alan F,Alan F,5.0,Cannot Fault the Bus Service (Well one small criticism),2018-12-01
Denise d,Denise d,2.0,Risky Business,2018-08-01
Audrey W,Audrey W,5.0,Could Not Believe The Prices,2018-12-01
swissericsister,swissericsister,5.0,Great way to get around,2018-12-01
SJTKent2014,SJTKent2014,5.0,Great way to Explore,2018-12-01
Robert L,Robert L,4.0,Very efficient,2018-12-01
Karen D,Karen D,4.0,Explore Malta & Gozo by bus,2018-11-01
Alan Tom,Alan Tom,4.0,Great way to get around.,2018-11-01
Margaret O,Margaret O,5.0,Amazing bus servi e,2018-11-01
Morana,Morana,5.0,Great option to explore Malta,2018-11-01
hungrydave2018,hungrydave2018,4.0,Not as comprehensive a network as the old yellow buses,2018-08-01
LiMcG,LiMcG,5.0,Excellent bus service,2018-11-01
MapleLeafs27,MapleLeafs27,3.0,Patience is a virtue,2018-08-01
Geoff R,Geoff R,5.0,Great value travel,2018-11-01
822saf,822saf,5.0,Great Value,2018-11-01
tizwaz,tizwaz,4.0,Useful,2018-11-01
Eduardo M,Eduardo M,3.0,Good but busy,2018-11-01
bparkercars,bparkercars,5.0,Excellent bus service.,2018-11-01
Karen F,Karen F,5.0,The weekly pass,2018-11-01
Denise,Denise,5.0,Easy and good,2018-11-01
amy,amy,3.0,Malta is much much bigger than I thought but the mobile app never worked,2018-11-01
karen s,karen s,5.0,Excellent transport system,2018-11-01
Ian L,Ian L,5.0,Very convenient and efficient,2018-11-01
Alison C,Alison C,4.0,Cheap travel generally - Airport too,2018-11-01
Lozbell88,Lozbell88,4.0,Good but always very busy.......,2018-11-01
JanetCassidy,JanetCassidy,5.0,Bus Card,2018-09-01
JoyceBrodie,JoyceBrodie,4.0,Excellent deal on the buses,2018-10-01
Monge831,Monge831,5.0,Great Bus service,2018-11-01
sen862017,sen862017,4.0,Good prices,2018-10-01
Thomas C,Thomas C,1.0,Horrible Experience,2018-11-01
cwilkins3,cwilkins3,5.0,So efficient.,2018-10-01
GOA,GOA,5.0,Clean and comfortable but can get really full,2018-10-01
Hamish42,Hamish42,5.0,Excellent way to get around Malta and Gozo,2018-10-01
MarpleTraveller,MarpleTraveller,5.0,Great Way to get around,2018-10-01
Stevesworld2018,Stevesworld2018,4.0,Excellent value for money.,2018-10-01
Kiara S,Kiara S,4.0,"Cheap, easy",2018-10-01
Bernd B,Bernd B,5.0,A must for visitors,2018-10-01
Tiina V,Tiina V,5.0,Malta Public Transport easy to use,2018-10-01
Mark W,Mark W,1.0,AVOID!,2018-10-01
shaunip,shaunip,1.0,Avoid at all costs bring extra money for a taxi !!!,2018-10-01
Stuart S,Stuart S,1.0,Dreadful bus journey - be warned,2018-10-01
Nicholas W,Nicholas W,5.0,A comprehensive and inexpensive travel resource,2018-10-01
dave b,dave b,1.0,Terrible experience! Warning,2018-10-01
Tracy R,Tracy R,4.0,Not impressed,2018-10-01
Chris Z,Chris Z,4.0,Local transport,2018-10-01
HelenaSuomi,HelenaSuomi,4.0,Buy a card for 12 times,2018-10-01
raymonddonald,raymonddonald,5.0,An expetience to behold,2018-10-01
jason t,jason t,1.0,Still needs another major overhaul,2018-10-01
Triki K,Triki K,3.0,Bring more busses to popular routes,2018-10-01
911bella,911bella,4.0,The Road to Nowhere,2018-10-01
jorj1984,jorj1984,2.0,Need more buses,2018-10-01
adrian a,adrian a,4.0,Good value but can be full,2018-09-01
Joy W,Joy W,5.0,An excellent public bus system,2018-10-01
701roger,701roger,4.0,Bus to Mdina,2018-10-01
Murphslab,Murphslab,5.0,Dependable and reliable,2018-10-01
Geraldine S,Geraldine S,1.0,Driver demanding extra fare,2018-10-01
DJTUK,DJTUK,5.0,Good value but can get crowded,2018-09-01
Pickle085,Pickle085,3.0,"Use travel card, everybody does.",2018-09-01
Mark S,Mark S,5.0,Fantastic value and service,2018-09-01
John R,John R,4.0,Weekly ticket is well worth for convenience,2018-10-01
alastairb488,alastairb488,5.0,"Good, cheap way to get around.",2018-09-01
Dave-6,Dave-6,5.0,This is a must,2018-09-01
Doreenthetourist,Doreenthetourist,4.0,Great way to get around and see Malta,2018-10-01
Jakub_MT,Jakub_MT,1.0,A bad joke.,2018-10-01
Christine U,Christine U,5.0,Efficient and comfortable service,2018-09-01
Llewellyn53,Llewellyn53,4.0,Easy to get around,2018-10-01
Maurizio1970,Maurizio1970,5.0,Really convenient,2018-09-01
Becki G,Becki G,5.0,I cannot rate highly enough,2018-09-01
Romeo M,Romeo M,1.0,Check the number of trips on the cards you buy,2018-09-01
Greedy,Greedy,4.0,Great value but often overcrowded,2018-09-01
Aigars Von Major,Aigars Von Major,4.0,"Service wery good, but buses are too dirty!",2018-09-01
Patricia H,Patricia H,5.0,"Very good service, reliable, quick and good value.",2018-09-01
Marimariiiiii,Marimariiiiii,1.0,Please attention!!!!!,2018-09-01
NigeBrown,NigeBrown,4.0,"Good value, reliable service",2018-09-01
Bob N,Bob N,5.0,The workhorse of Malta,2018-09-01
malefamily,malefamily,5.0,Only way to travel,2018-09-01
jimlad54,jimlad54,5.0,getting about,2018-09-01
25Silver,25Silver,5.0,Very efficient,2018-09-01
Henrietta E,Henrietta E,4.0,Transport,2018-09-01
Steph G,Steph G,5.0,Buses are great,2018-09-01
peebee43,peebee43,4.0,Cheap and efficient,2018-09-01
Peter R,Peter R,5.0,Terrific service but make sure you’ve got always loose change,2018-09-01
LIZandELT,LIZandELT,5.0,Value for money on 7 day visit,2018-09-01
Karen L,Karen L,5.0,Malta bus,2018-09-01
Alexandra B,Alexandra B,4.0,Best way to travel in Malta,2018-09-01
Elaine C,Elaine C,5.0,Plenty of buses,2018-09-01
Susana Nobre,Susana Nobre,1.0,Awful company to travel and deal with...,2018-09-01
P C,P C,4.0,Open top hop double decker buses.,2018-08-01
Nessi_Hey,Nessi_Hey,4.0,I do recomned it,2018-09-01
Geoff S,Geoff S,5.0,Best transit system,2018-09-01
Filip O,Filip O,1.0,Buses always late,2018-09-01
james1gilliland,james1gilliland,5.0,great for doing your own thing,2018-08-01
maria ana v,maria ana v,1.0,Service bus,2018-09-01
Karen V,Karen V,4.0,Public transport from Bugibba,2018-09-01
Beamer23,Beamer23,4.0,Very well run and reasonably priced,2018-09-01
Jws03,Jws03,1.0,Worst publics transport,2018-09-01
nigeLelaine2015,nigeLelaine2015,3.0,Do your homework,2018-09-01
BillCRochdale,BillCRochdale,5.0,"Excellent, relable and cheap",2018-07-01
KTGP,KTGP,5.0,"PUBLIC TRANSPORT GREAT, PLAN AHEAD TO GET MAXIMUM BENEFIT",2018-04-01
Superstar1,Superstar1,5.0,Efficient system gets you where you want to go,2018-09-01
Joveca,Joveca,2.0,Not delighted,2018-09-01
Alina N,Alina N,4.0,"Thank you, Malta Public Transport!!!",2018-08-01
Glynn A,Glynn A,4.0,The best way to travel,2018-08-01
ScarlRobina,ScarlRobina,5.0,Very good flexible service,2018-07-01
Michael T,Michael T,3.0,Flexible Matla Transport,2018-08-01
Lydia2121,Lydia2121,3.0,"Busy, cheap and infrequent",2018-08-01
Eze,Eze,1.0,Worst experience ever!!!!!,2018-08-01
El_Tenerdor,El_Tenerdor,4.0,Mainly good,2018-08-01
LoveToTravelTerrie,LoveToTravelTerrie,4.0,This should be your first purchase when you arrive at the airport!,2018-07-01
Danny F,Danny F,3.0,Hmmm very packed,2018-08-01
Joana G,Joana G,1.0,worst public transportation ever!,2018-08-01
Dee B,Dee B,1.0,"The worst Customer Service ever ! Madman driver, disrespectful attitude, foul language !",2018-08-01
Oliver C,Oliver C,1.0,Not Fit for Purpose,2018-08-01
Turtle5954,Turtle5954,4.0,Easy to use,2018-08-01
kwiryna_proczkowska,kwiryna_proczkowska,3.0,ExplorePlus Card: lacking information,2018-08-01
644barriea,644barriea,5.0,great way to get around,2018-05-01
Dolores D,Dolores D,3.0,Malta public transport.,2018-07-01
donnascott632,donnascott632,3.0,Very cheap €21.,2018-07-01
Berniece S,Berniece S,5.0,Explore bus plus card,2018-07-01
Nevin H,Nevin H,1.0,Terrible,2018-07-01
David W,David W,5.0,Cheap and Cheerful,2018-07-01
IvanGumenyuk,IvanGumenyuk,3.0,"Buses sometimes do not appear, otherwise all is good",2018-07-01
Kreeshmw,Kreeshmw,1.0,Don’t take the bus,2018-07-01
Zahavi A,Zahavi A,5.0,Perfect traveling method,2018-07-01
Roy v,Roy v,1.0,Busses always full,2018-07-01
GMShillington,GMShillington,5.0,Great value,2018-07-01
travelexplorer001,travelexplorer001,1.0,Awful.....,2018-07-01
Ricardo Figueiredo,Ricardo Figueiredo,1.0,Malta public transport,2018-07-01
barbara p,barbara p,1.0,Terrible,2018-07-01
Josephine C,Josephine C,1.0,"Hopeless, undependable service",2018-07-01
Anita P,Anita P,5.0,Best way to travel around Malta,2018-07-01
REDMAN,REDMAN,1.0,The most dangerous drivers of my life!,2018-06-01
p m,p m,4.0,Easy to get around!,2018-07-01
Miriam D,Miriam D,5.0,Highly recommended!,2018-07-01
Saša N,Saša N,2.0,Horrible experience,2018-07-01
sid13,sid13,4.0,Much improved,2018-07-01
Iva BGD,Iva BGD,5.0,Good conection,2018-03-01
Andrew L,Andrew L,4.0,bus trips,2018-06-01
Thenails,Thenails,4.0,The Bus service was on time every time,2018-07-01
michaela s,michaela s,3.0,a lot of buses and ferries,2018-06-01
Fiona ní D,Fiona ní D,5.0,"Excellent service, great value, helpful drivers",2018-07-01
Joe S,Joe S,5.0,Great Public Transportation,2018-07-01
josken2014,josken2014,5.0,Air Conditioning,2018-06-01
Nat-Marie-26,Nat-Marie-26,3.0,Busy buses but good service,2018-07-01
Cathy S,Cathy S,5.0,You can get to any place of interest on the buses,2018-06-01
6112pa,6112pa,3.0,Ok during the day. Night service a shambles,2018-07-01
eilleen m,eilleen m,4.0,very full buses.,2018-06-01
margeryann333,margeryann333,2.0,Overcrowded,2018-06-01
Warren G,Warren G,5.0,Fantastic public transport system,2018-05-01
RayCoates,RayCoates,3.0,Not good!,2018-06-01
Bernd B,Bernd B,5.0,Tallinja Card,2018-02-01
Paul H,Paul H,2.0,Very overcrowded but fairly cheap compared to a taxi.,2018-06-01
Mtodd2018,Mtodd2018,5.0,Excellent good value,2018-05-01
sandrahamblett,sandrahamblett,3.0,Holy onto your seat,2018-05-01
TerryStaffordEngland,TerryStaffordEngland,5.0,Easy way to see Malta,2018-06-01
Heike B,Heike B,4.0,No probs - after some learning!,2018-06-01
SW1KATZ,SW1KATZ,2.0,Getting Around Malta by Bus,2018-06-01
Wallyontravel,Wallyontravel,3.0,Quite a mess,2018-05-01
Ivor M,Ivor M,3.0,So-so,2018-06-01
35hilarym,35hilarym,5.0,Fabulous island bus service and CHEAP,2018-06-01
Liz T,Liz T,4.0,Easy To Use,2018-06-01
Taj,Taj,3.0,Bues on Malta,2018-05-01
JXXXR,JXXXR,3.0,Good price but can be some dodgy service,2018-06-01
Dr Simon Stones,Dr Simon Stones,4.0,Cheap and generally good service,2018-05-01
Gillian S,Gillian S,4.0,Good Service,2018-05-01
barrett65,barrett65,4.0,Buses always packed!!,2018-05-01
Steve B,Steve B,4.0,Great!,2018-05-01
lucy k,lucy k,3.0,Get more buses from Bugibba to Gozo Ferry,2018-05-01
leanneandtony,leanneandtony,4.0,Seems to be Cheap and Efficient,2018-05-01
boeingAde,boeingAde,3.0,"Need to look a schedules, fed up standing !",2018-05-01
Gabri S,Gabri S,5.0,No car!!,2018-04-01
GWalker23,GWalker23,5.0,Such a great service,2018-05-01
Michael W,Michael W,4.0,Easy to use this way to navigate around the island,2018-05-01
anm53,anm53,4.0,Good for getting around Gozo,2018-04-01
Robert C,Robert C,4.0,Good value service,2018-05-01
Kim F,Kim F,4.0,Very easy to use,2018-05-01
dhill2509,dhill2509,1.0,Oh dear,2018-05-01
Arbia D,Arbia D,4.0,Good Network,2018-04-01
Carolyn M,Carolyn M,3.0,Holiday with friend,2018-05-01
A Y,A Y,3.0,It's really a mixed story,2018-05-01
Linda P,Linda P,1.0,Malta bus travel - now a disgrace,2018-05-01
alreadydead,alreadydead,1.0,Rename To Sardine Public Transport,2018-05-01
Zzr600blue,Zzr600blue,2.0,NOT Pleasant - Crafty Grannies & Blatant Youths Barge in Front.,2018-05-01
AMJennison,AMJennison,2.0,Not enough buses!,2018-05-01
amci,amci,2.0,Not a pleasant experience,2018-05-01
adyval,adyval,5.0,Brilliant service,2018-05-01
Linda H,Linda H,4.0,great way to see the sites,2018-05-01
Margaret R,Margaret R,5.0,Public transport,2018-05-01
Steven A,Steven A,1.0,Horrible horrible horrible.,2018-05-01
Frances L,Frances L,3.0,Don’t expect to get to your destination in a hurry,2018-05-01
Michael L,Michael L,4.0,A great way to get around the Island,2018-04-01
Panos L,Panos L,5.0,The best public transport ever!,2018-03-01
XyrusQ,XyrusQ,2.0,Don't trust,2018-05-01
Dick L,Dick L,5.0,"Inexpensive, but busy",2018-05-01
schreiterdiana,schreiterdiana,1.0,Horrible... we should have rented a car,2018-05-01
Jarek S,Jarek S,3.0,High value for money - low price and low quality,2018-04-01
Chris B,Chris B,4.0,Inexpensive way to travel around Malta.,2018-05-01
Junebbrown,Junebbrown,5.0,Cheaper if you're exploring,2018-05-01
TorontoJetlagged,TorontoJetlagged,3.0,Inexpensive and but you need to plan your trips in advance,2018-04-01
LeedsYorksUK,LeedsYorksUK,1.0,Possibly the worst public transport for many a mile,2018-05-01
Phil_MelG,Phil_MelG,1.0,What a terrible advert for this lovely Island. Use these buses at your peril.,2018-04-01
Let's Go!,Let's Go!,2.0,Cheap but can be a stressful way to travel,2018-04-01
triper2014,triper2014,4.0,Easy to use and cheap,2018-04-01
Alex Block,Alex Block,3.0,"Relaible for an island, but far from great",2018-04-01
Farrah A,Farrah A,2.0,Little supply for too many demands,2018-04-01
Valarie M B,Valarie M B,5.0,Perfect,2018-03-01
Roel D,Roel D,1.0,"Tardy, slow and too little capacity",2018-04-01
Allan L,Allan L,2.0,"Rough, crowded, infrequent and unreliable",2018-04-01
RetiredinChelmsford,RetiredinChelmsford,3.0,continually packed and slow - but cheap,2018-04-01
Sue H,Sue H,4.0,You have to experience a trip on a bus in Malta,2018-04-01
tim252,tim252,3.0,Could be better,2018-04-01
Theologyprof,Theologyprof,5.0,One of the best in the world,2018-04-01
geraldhdawson,geraldhdawson,5.0,the week bus pass at €21 is great value,2018-04-01
Carl D,Carl D,1.0,"Really inconsistent, unfriendly, and so slow",2017-10-01
Barbora J,Barbora J,5.0,Great!,2018-04-01
NikJ,NikJ,5.0,Timetables for decoration only...l,2018-04-01
karel l,karel l,2.0,Karel,2018-04-01
Steve W,Steve W,5.0,Cheap and cheerful,2018-04-01
teithio2013,teithio2013,3.0,Good Bus Network,2018-04-01
Gregor M,Gregor M,4.0,very cheap,2018-04-01
SIROCCO2138,SIROCCO2138,3.0,not reliable,2018-04-01
PeterSnell949,PeterSnell949,5.0,reliable and cheap,2018-04-01
Stephenhelme,Stephenhelme,5.0,Get one,2018-04-01
CW,CW,2.0,Bus,2018-04-01
SanRobbo,SanRobbo,3.0,"Better than 'average', but not quite 'very good'!",2018-03-01
KTLiN,KTLiN,2.0,Please reas before planning a trip to Malta!!,2018-04-01
TheCount69,TheCount69,2.0,Cheap and crammed,2018-03-01
Lisa S,Lisa S,1.0,Poor customer service,2018-04-01
malc1005,malc1005,4.0,Good way to get around.,2018-03-01
Paul D,Paul D,1.0,Pay for 12 but only get 8 and 2 Halves,2018-03-01
Jason Q,Jason Q,4.0,Good Service,2018-04-01
Terry H,Terry H,5.0,Efficient and very good value,2018-03-01
QueenPelz,QueenPelz,4.0,Reasonable and overall good value,2018-03-01
Isa-DunEideann,Isa-DunEideann,3.0,"Reasonably priced, not reliable at times and overcrowded buses",2018-03-01
Pennyanne2012,Pennyanne2012,3.0,Potentially great but some issues,2018-03-01
lindao310,lindao310,2.0,Disappointing,2018-03-01
Lena B,Lena B,1.0,Terrible terrible experience,2018-03-01
andrzejmieszkowicz,andrzejmieszkowicz,1.0,Very unreliable,2018-03-01
brendaf938,brendaf938,5.0,Travel the island for a week for 21 euros,2018-03-01
Estere P,Estere P,4.0,Very Good,2018-03-01
Mike B,Mike B,5.0,"Very modern buses, very cheap @ 1.50€ or explore card even cheaper, possibly the best public transport system in Europe",2018-03-01
conwoman43,conwoman43,4.0,Mostly dependable and cheap transportation,2018-03-01
Tor M,Tor M,5.0,superb,2018-03-01
Robin S,Robin S,4.0,Great Way to Visit the Island,2018-02-01
Shirley1256,Shirley1256,4.0,Travel card,2018-03-01
Giri G,Giri G,5.0,Best purchase ever!,2018-03-01
stephen t,stephen t,5.0,god send,2018-03-01
DaveMcInally,DaveMcInally,3.0,Plenty of transport,2018-03-01
Vivy43,Vivy43,4.0,public transport,2018-03-01
Brian M,Brian M,5.0,Excellent service and coverage,2018-03-01
Disgruntled1108,Disgruntled1108,4.0,Great bus service,2018-03-01
Wiltshire_Ian,Wiltshire_Ian,3.0,Mixed Experienced,2018-03-01
Donal M,Donal M,4.0,CHEAP & CHEERFUL,2018-03-01
ED Cox,ED Cox,5.0,Forget Hiring A Car,2018-03-01
ABEONAS,ABEONAS,3.0,Prang,2018-03-01
Yaomni,Yaomni,1.0,The worst public transport ever,2018-03-01
Steve C,Steve C,4.0,Good Value,2018-03-01
Neil A,Neil A,5.0,Getting about,2018-03-01
HoneyMonsterontour,HoneyMonsterontour,5.0,AVOID HIRING A CAR TAKE THE LOCAL BUS,2018-03-01
RICHARD B,RICHARD B,5.0,easy way to travel,2018-03-01
JoachimA11,JoachimA11,4.0,7 Days of bus transport,2018-03-01
Jess B,Jess B,5.0,Easy to Navigate and Inexpensive,2018-02-01
hjk381,hjk381,5.0,everywhere at any time,2018-01-01
margaret l,margaret l,5.0,well worth it,2017-09-01
Travelling2007,Travelling2007,2.0,I'm sorry to say that the bus service was the worst aspect of our visit,2018-02-01
Cynthia B,Cynthia B,5.0,Good transport across Malta and Gozo,2018-02-01
cezandalz,cezandalz,4.0,Buses,2017-11-01
tony k,tony k,3.0,Seen a lot worse in third world countries...,2018-01-01
ANGELO V,ANGELO V,3.0,Touring Malta with public transportation,2018-02-01
KEVCO36,KEVCO36,4.0,Great way to get around,2018-02-01
Dillon X,Dillon X,4.0,Easy and very convienet,2018-02-01
Mangomotte,Mangomotte,4.0,Almost always on time!,2018-02-01
sjeffrey04,sjeffrey04,4.0,Easy and convenient!,2018-02-01
merula801,merula801,4.0,PRE-PLAN YOUR TRIPS USING THE PUBLIC TRANSPORT WEBSITE,2018-02-01
maxandmara,maxandmara,5.0,Great value,2018-02-01
alan punter,alan punter,4.0,well run,2018-02-01
SIRNED,SIRNED,3.0,Modern buses with a Maltese view on efficiency!,2018-02-01
lllroxy,lllroxy,4.0,Great way to travel,2018-02-01
Souvik M,Souvik M,1.0,Poor public transport service,2018-02-01
Kim P,Kim P,5.0,Great way to get around the island,2018-02-01
S P,S P,4.0,"Plentiful, cheap and like Mad Max!",2018-02-01
SLIDER,SLIDER,1.0,BAD - WORSE - MALTA PUBLIC TRANSPORT,2018-02-01
Sheenman,Sheenman,4.0,Excellent bus service,2018-02-01
Joana,Joana,1.0,Most arrogant drivers in the world!,2018-02-01
tinkle_24,tinkle_24,3.0,Been good overall BUT..,2018-02-01
Marek M,Marek M,5.0,Travel everywhere on Malta!,2018-01-01
craftyolddevil,craftyolddevil,5.0,Just the best bus service ever......,2018-01-01
Hana D,Hana D,2.0,Unreliable,2018-02-01
Lauraine M,Lauraine M,5.0,Amazing value,2018-01-01
MMPmmp,MMPmmp,5.0,Malta public transport bus,2018-01-01
dalesman98,dalesman98,3.0,Good value but can be confusing,2018-01-01
NorthWalesSaint,NorthWalesSaint,5.0,Great way to explore Malta,2018-01-01
Jane N,Jane N,5.0,Bus to Medina is ridiculously good value,2018-01-01
55608893,55608893,5.0,Pubic Transport,2018-01-01
Anton,Anton,3.0,Easy and cheap but crowded,2018-01-01
luigimadrid27,luigimadrid27,5.0,The best way to visit the island!,2018-01-01
LovinWicklow,LovinWicklow,1.0,Day light robbery,2017-08-01
Rebecca White,Rebecca White,3.0,Not helpful,2017-02-01
Angela H,Angela H,4.0,Bargain way to see the island,2017-07-01
Marconi180,Marconi180,1.0,Really bad experience,2017-04-01
Dre,Dre,3.0,Never on time but widely available,2018-01-01
Aitch T,Aitch T,5.0,"Fast, value for money, busy at peak times, prepare to stand!",2018-01-01
Julie A,Julie A,5.0,Cheap and clean,2017-05-01
dacougr,dacougr,4.0,Cheap way to get around town but often very CROWDED,2017-11-01
Gill N,Gill N,5.0,good transport,2017-03-01
sibylle k,sibylle k,3.0,great to visit Malta - huge potential for improvement,2017-12-01
Emily B,Emily B,4.0,Cheap,2017-12-01
Marion S,Marion S,5.0,What's not to like?,2017-12-01
123gillyb,123gillyb,3.0,Cheap,2017-12-01
robpithers,robpithers,5.0,Explore Cardd,2017-12-01
Milda D,Milda D,1.0,Long long time to wait for a bus,2017-12-01
Intrepid Traveller,Intrepid Traveller,4.0,Malta December sun,2017-12-01
Robert B,Robert B,5.0,Malta Bus,2017-11-01
Renata H,Renata H,3.0,time,2017-12-01
Brian K,Brian K,5.0,A Must to tour the Island.,2017-09-01
Christiane V,Christiane V,4.0,"Well organised transport system, helpful staff",2017-12-01
tripsandfood55,tripsandfood55,4.0,Some useful information........,2017-10-01
Clayton G,Clayton G,4.0,These Buses Made My Holiday,2017-11-01
g p,g p,5.0,Malta buses,2017-06-01
Linda S,Linda S,4.0,Great but Could Be Better!,2017-11-01
Per H,Per H,3.0,"You’ll get there, eventually...",2017-11-01
Peggy M,Peggy M,3.0,overcrowded buses(packed like sardines),2017-11-01
Kator47,Kator47,5.0,Marvellous!,2017-10-01
M46_aruba,M46_aruba,4.0,Good transport system,2017-11-01
James H,James H,1.0,Ovecrowded buses.,2017-11-01
Marco D,Marco D,1.0,Public transport are terrible !,2017-06-01
Mike K,Mike K,1.0,Worst public transport,2017-11-01
Austimum,Austimum,4.0,Great way to get around Malta,2017-11-01
Andrew G,Andrew G,1.0,various bus rides around malta,2017-11-01
jools064,jools064,3.0,Good and bad,2017-11-01
Joan E,Joan E,4.0,Buses,2017-11-01
Barbara P,Barbara P,4.0,"Bad experience, otherwise best bus service",2017-11-01
Linda G,Linda G,5.0,Well worth it.,2017-10-01
Ilkka H,Ilkka H,4.0,Convinient way of moving around,2017-10-01
Ronda L,Ronda L,5.0,The best way to travel!,2017-09-01
JhonRangel,JhonRangel,1.0,Very bad experience with the public transport and ver rude staff,2017-11-01
CambsTigers,CambsTigers,4.0,Well done Malta Public Transport.,2017-10-01
Drivealot12,Drivealot12,4.0,Good way to get around but busy,2017-10-01
EVA P,EVA P,5.0,Cheap way to move around Malta,2017-10-01
HAMLtd,HAMLtd,4.0,Good way to get around but slow,2017-10-01
dr_peace,dr_peace,4.0,Convenient yet crowded,2017-10-01
Christer C,Christer C,3.0,Well covered,2017-10-01
Christopher W,Christopher W,5.0,Cheap holiday travel,2017-10-01
András M,András M,1.0,Horrible 5 days with Malta Public Transport,2017-10-01
Lindsey K,Lindsey K,4.0,Be prepared to stand in busy months,2017-10-01
dougthegeologist,dougthegeologist,5.0,2 euros for 2 hours of access,2017-10-01
raymondabela,raymondabela,3.0,Mixed experiece,2017-10-01
L R,L R,3.0,Be prepared to wait,2017-10-01
cc1Canada,cc1Canada,5.0,very easy and very worthwhile,2017-08-01
Mark A,Mark A,2.0,Don't assume reliability,2017-10-01
Suhail-and-Rubi,Suhail-and-Rubi,3.0,A decent enough transport network for the Island,2017-10-01
2Goers,2Goers,5.0,Great way to see Malta,2017-09-01
wahaejock,wahaejock,4.0,WORTH IT..,2017-09-01
Dave C,Dave C,5.0,Holiday,2017-10-01
Rabatiti,Rabatiti,1.0,Terrible Service.,2017-10-01
Robert D,Robert D,5.0,Cheap travel,2017-09-01
Paddy1111,Paddy1111,4.0,Useful for tourists,2017-06-01
Barbara H,Barbara H,5.0,Bus service,2017-10-01
Djh612,Djh612,5.0,Get around - get a Tallinja!,2017-09-01
paul t,paul t,3.0,manic,2017-09-01
John L,John L,4.0,Steady as you go,2017-09-01
andyhhoward,andyhhoward,2.0,"wow, fast, bumpy, uncomfortable",2017-10-01
Hanhiemo,Hanhiemo,3.0,Never on time,2017-10-01
Irma R,Irma R,3.0,Malta,2017-10-01
honeyCornwallEngland,honeyCornwallEngland,3.0,Crowded,2017-09-01
marvinge,marvinge,4.0,praised by locals and tourists,2017-09-01
